BANGHAM,BANGHAM SA 5268
BORDERTOWN,BORDERTOWN SA 5268
BORDERTOWN SOUTH,BORDERTOWN SOUTH SA 5268
BRIMBAGO,BRIMBAGO SA 5267
BUCKINGHAM,BUCKINGHAM SA 5270
CANNAWIGARA,CANNAWIGARA SA 5268
CAREW,CAREW SA 5270
CUSTON,CUSTON SA 5269
KEITH,KEITH SA 5267
KONGAL,KONGAL SA 5270
LAFFER,LAFFER SA 5267
LOWAN VALE,LOWAN VALE SA 5268
MAKIN,MAKIN SA 5267
MCCALLUM,MCCALLUM SA 5267
MOUNT CHARLES,MOUNT CHARLES SA 5267
MUNDULLA,MUNDULLA SA 5270
MUNDULLA WEST,MUNDULLA WEST SA 5270
NGARKAT,NGARKAT SA 5302
PADTHAWAY,PADTHAWAY SA 5271
PETHERICK,PETHERICK SA 5267
PINE HILL,PINE HILL SA 5269
POOGINAGORIC,POOGINAGORIC SA 5268
SENIOR,SENIOR SA 5268
SHAUGH,SHAUGH SA 5267
SHERWOOD,SHERWOOD SA 5267
SWEDE FLAT,SWEDE FLAT SA 5270
SWEDES FLAT,SWEDES FLAT SA 5270
WESTERN FLAT,WESTERN FLAT SA 5268
WILLALOOKA,WILLALOOKA SA 5267
WIRREGA,WIRREGA SA 5267
WOLSELEY,WOLSELEY SA 5269
